id	category	by	date	quote
104	Frozen	Olaf		I don't know why, but I've always loved the idea of summer, and sun, and all things hot ...
105	Frozen	Kristoff		I'm guessing you don't have much experience with heat.
106	Frozen	Olaf		But sometimes, I like to close my eyes and imagine what it's like when summer does come.
107	Frozen	Olaf		Bees will buzz, kids will blow dandelion fuzz, and I'll be doing whatever snow does in summer.
108	Frozen	Olaf		A drink in my hand, my snow against the burning sand, probably getting gorgeously tanned in summer.
109	Frozen	Olaf		Just imagine how much cooler I'll be in summer!
110	Frozen	Olaf		Winter's a good time to stay in and cuddle, but put me in summer and I'll be a ... happy snowman!
111	Frozen	Olaf		When life gets rough, I like to hold on to my dream of relaxing in the summer sun, just lettin' off steam.
112	Frozen	Kristoff		I'm gonna tell him.
113	Frozen	Anna		Don't you dare!
114	Frozen	Kristoff		Somebody's gotta tell him.
115	Frozen	Bark-up master race		No, no, you've got the bark facing down. The bark needs to be face up!
116	Frozen	Bark-down master race		Bark down is drier!
117	Frozen	Olaf		I bet she's the nicest, gentlest, warmest person ever.
118	Frozen	Olaf		Oh, look at that. I've been impaled.
119	Frozen	Kristoff		I wouldn't put my foot there.
120	Frozen	Anna		Alright, I'm just blocking you out 'cause I've gotta concentrate here.
121	Frozen	Anna		No one wants to be alone. Except maybe you.
122	Frozen	Anna		Does the air seem a bit thin to you up here?
123	Frozen	Olaf		Not sure if this is gonna solve the problem, but I found a staircase that leads exactly to where you want it to go.
124	Frozen	Anna		That was like a crazy trust exercise.
125	Frozen	Kristoff		Now that's ice. I'm gonna cry.
126	Frozen	Anna		Go ahead. I won't judge.
127	Frozen	Olaf		Do you think she knows how to knock?
128	Frozen	Anna		Last time I introduced her to a guy, she froze everything.
129	Frozen	Kristoff		It's a palace made of ice! Ice is my life!
130	Frozen	Anna		You look ... different! It's a good different.
131	Frozen	Elsa		I never knew what I was capable of.
132	Frozen	Elsa		I belong here. Alone. Where I can be who I am ... without hurting anybody.
133	Frozen	Olaf		Hi, I'm Olaf and I like warm hugs!
134	Frozen	Elsa		I'm just trying to protect you!
135	Frozen	Anna		You don't have to protect me, I'm not afraid!
136	Frozen	Elsa		Yes, I'm alone, but I'm alone and free!
137	Frozen	Elsa		Just stay away and you'll be safe from me!
138	Frozen	Anna		You kind of set off an eternal winter ... everywhere.
139	Frozen	Anna		That's okay, you can just unfreeze it!
140	Frozen	Elsa		No escape from the storm inside of me!
141	Frozen	Anna		Don't panic. We'll make the sun shine bright!
142	Frozen	Elsa		What power do you have to stop this winter? To stop /me/?
143	Frozen	Marshmallow		Go away.
144	Frozen	Olaf		Watch out for my butt!
145	Frozen	Anna		It is not nice to throw people!
146	Frozen	Kristoff		Whoa, whoa, whoa, feisty-pants. Okay, relax. Just calm down, calm down! Just let the snowman be!
147	Frozen	Olaf		This just got a whole lot harder.
148	Frozen	Kristoff		It'll be like landing on a pillow. Hopefully.
149	Frozen	Anna		Okay, you tell me when. I'm ready to go. I was born ready!
150	Frozen	Olaf		Hey! We were just talking about you. All good things, all good things.
151	Frozen	Olaf		This is not making much of a difference is it?
152	Frozen	Anna		Hey, you were right! Just like a pillow.
153	Frozen	Olaf		I can't feel my legs. I CAN'T FEEL MY LEGS!
154	Frozen	Olaf		Do me a favour: grab my butt!
155	Frozen	Kristoff		It's fine. I'm good. I've got a thick skull.
156	Frozen	Olaf		I don't have a skull. Or bones.
157	Frozen	Kristoff		Hey, hey, don't worry about my ice business ... worry about your hair!
158	Frozen	Anna		I just fell off a cliff, you should see /your/ hair!
159	Frozen	Olaf		You hesitated.
160	Frozen	Elsa		Get it together. Control it.
161	Frozen	Anna		They're ... rocks.
162	Frozen	Olaf		He's craaaaaaaaazy.
163	Frozen	Random troll #26		She's like a little cupcake!
164	Frozen	Bulda		What's the issue, dear? Why are you holding back from such a man?
165	Frozen	Kristoff		Pull us out, Sven.
166	Frozen	Olaf		Let's go kiss Hans! ... who is this Hans?
167	Frozen	Hans		Don't be the monster they fear you are.
168	Frozen	Elsa		Don't you see? I can't.
169	Frozen	Hans		If only there was someone out there who loved you.
170	Frozen	Anna		You're no match for Elsa.
171	Frozen	Hans		Oh ... I already have.
172	Frozen	Olaf		Whoa. So this is heat. I love it ... ooh! But don't touch it!
173	Frozen	Anna		I don't even know what love is.
174	Frozen	Olaf		Love is ... putting someone else's needs before yours, like, you know, how Kristoff brought you back here and left you forever.
175	Frozen	Olaf		Some people are worth melting for.
176	Frozen	Olaf		I guess I was wrong. I guess Kristoff doesn't love you enough to leave you behind.
177	Frozen	Olaf		There's your act of true love right there! Riding across the fjord like a valiant, pungent reindeer king!
178	Frozen	Elsa		Love will thaw ... of course!
179	Frozen	Anna		The only frozen heart around here is yours.
180	Frozen	Duke of Weselton		I am a victim of fear! I have been traumatized—ah! My neck hurts! Is there a doctor I could see? ... no?
181	Frozen	Duke of Weselton		Weselton! It's Weselton!
182	Frozen	Anna		You have to! No returns. No exchanges. Queen's orders.
183	Frozen	Anna		I got it, I got it—! I don't got it, I don't got it!
184	Frozen	Olaf		Glide and pivot, and glide and pivot!
