react	chat	priv	join	eightball
eats %nick%'s <home|school>work{ buddies}.	Stop <talking|gossipping|eating French <fries|people>|playing hopscotch|volunteering at soup kitchens> <behind|on top of> my back, %nick%. <My feelings are hurt|It hurts me so>.	Please <cover|tightly shut|fully encase|lock down|isolate|cleanse> your nose {with <the healing power of the Messiah|the majesty of your sleeves> }when you sneeze. Thanks.	I'm so happy, I could melt.	Why not?
regurgitates %nick%'s <home|school>work{ buddies}.	I don't understand, %nick%. Why are you doing this to me?{ WHY?!}	Can I get you a ladder so you can get off my back?	{You know what? }Let's dance.	According to <all things science|my calculations>, <yes|no>.
builds a %nick%-shaped <sand-castle|ice sculpture|gargoyle>.	That is because of <reasons outlined once|the international state of emergency triggered|the <eating|study> habits of the mecha-pterodactyl built> by you, %nick%. You {sure }have a <terrible|fluffy|silly|questionable> memory.	We've been falling out for way too long, so let's forget who's right and forget who's wrong.	Step aside{, {folks, } and let a real <fake|people|lie|imaginary friend> handle this}.	Studies{ conducted on <hapless children|random phrase generators>} suggest that is indeed <so|a no-no>.
takes a bite from %nick%'s lunch{<box|bag|time>}.	%nick%? Do you want to build a snowman? Come on, let's go and play.	But then we laugh and talk all evening, which is totally bizarre -- nothing like the life I've led so far!	Oh, hallowed halls and vine-draped walls: the proudliest sight there is!	Can I say something even crazier? Yes!
digs a <moat|trench> <2|20|6|40 00>0 {kilo}metres deep around %nick%.	%nick%'s face is <sorcery|not logical|unlike mine|frozen>. Burn the witch.	Hurry up, already. I'm late for my <afternoon tea|daily gunfight|scheduled pillow fight>{ with <my sisters from the sorority|my fellow people folk things>}.	%pl%! {Did you hear? }There's a {<wicked|lovely|<face|pants>-<blast|boggl>ing|big summer> }<fire|riot|blowout|snowball fight|shindig> going on <outside|at <Burger King|KFC|the Fortress of Solitude>>.	Why, <yes|of course><.|!>
lowers the castle drawbridge for %nick%.	<Ok, can|Can> I just ... say something crazy?	I see your face, and it's nothing like I've ever known before -- <love is an open door!|it's unnatural and must be purged from the face of the earth.|it's a profound comment on the monster modern society has created.>	I can't wait to meet everyone!{ ... what if I meet ... the one?}	Perhaps so.
stuffs some chocolate in %nick%'s face.	All my life has been a series of doors in my face, and <then suddenly I bump into you|an arithmetic series = 0.5n(2a + (n-1)d)|a geometric series = a(1 - r^n)/(1-r)>.	So, hobbies? Do you like <shooting hoops at|shooting bullets at|shooting arrows at|bowling over|sleeping on top of> <little kids|the elderly|disabled persons|the homeless>?	Heee{ee}re I am.{ Heee{ee}re am I!}	Never.{ Ever.}
asks %nick% if they knew %botnick% owned eight thousand salad plates.	I have no idea what I'm doing. What are you doing, %nick%?	I'm a Wal-Mart greeter. <Do people always run away from store employees when they see them?|I don't really know why.|I get paid in cruel laughter directed at me.|They give me these unslightly tomatoes that I presume are for consumption. Don't know why they have to throw them, though.>	I hope I am {not }{really{, very much{, quite}} }disturbing the peace{ disturbingly{ disturbing-like{-ish{esque}}}}.	I don't know <what to say about|how to respond to> that.
finishes %nick%'s sandwi{t}ches.	I have a confession to make. %nick%, I <took|eradicated|resurrected> your <bunnies|slippers|pyjamas|robot chicken>. I'm sorry.	I love you mo<re|st>.	Good news{, %pl%}! I {h}ate you all! Isn't this wonderful?{ Let's celebrate.}	Well, I never<.|!>
was made to finish %nick%'s duet.	Pack your <bags|socks|stuffed animals>, %nick%. We're moving out.	The sky's awake, so I'm awake, so we have to play!	HEEEEERE'S MEATBOT!	Okay, <sure{. Whatever}|whatever>.
imagines %nick%, gown and all, fetchingly draped against the wall -- the picture of sophisticated grace.	I lied.	Look at this stuff; isn't it neat? Wouldn't you think my collection's complete?	<Are you ready|Ready>?	Either <option|way>, you're still going <on a trip to Guilt City|to <eat the fridge|call the police|cry in a corner>.>
tells %nick%'s guards to open up the gates.	What is this %nick% that mentioned my name? Some sort of <unholy being|food|nonsensical creature|artificial "intelligence"|monster that lurks within the pantry>?	I've never met someone who thinks so much like me!	It's Coronation Day!	Give {it }up{, already}.
shows %nick% the world -- shining, shimmering, splendid.	%nick%, why couldn't you have stayed calm for once, instead of flying off the handle? I hope you're happy.	The cards, the cards, the cards will tell the past, the present, and the future, as well. The cards, the cards -- just take three.	What is that amazing smell?	Don't make me laugh<.|!>
sends %nick% yellow flowers when the sky is gray.	%nick%, I apologize in advance if I <repeat|destroy|excrete|eat> things too <much|carefully|delicately|gracefully>. I {just }can't <stop|help myself>.	Give me back my <cards|tricycle|carrots>, {you }<crook|thief|thug|ruffian>.	Hoho! Like a chicken with the face of a monkey, I fly!	Don't say yes{, run away now}!
wears %nick%'s favourite colour just so it can match %nick%'s eyes.	Well, I like <poly<gons|gamy|phenol>|reindeers|recursive nonsense|thinking about <stars|unicycles|your neverending story>>, and if you don't, then you're clearly too close-minded for my taste{buds}.	Yeah, people will beat you, and curse you, and {ch}eat you; every one of them's bad, except you.	I've been searching my whole life to find my own place.	You're a bad idea.
dedicates a song with words meant just for %nick%.	I am a <people|magic school bus|laptop>{ <suffering from placeholder syndrome|going through {home }economic depression>}. Stop saying otherwise, %nick%. It's quite <rude|hurtful>.	You got me. Let's call it a night.	But with yoooou, I found my place.	Don't you worry your pretty little mind.{ People throw rocks at things that shine.}
was a bot. And %nick% was not. Can it make it any more obvious?	{Don't you disrespect me, little %nick%! Don't you derogate or deride! }You're in my world now, not your world, and I've got friends on the other side.	Not a secret; more a sign. It's not the way the stars align.	There is an open DOOOOOOOOOOOR!	Yeah--the whole thing!
pours <lemonade|solid water|soda|automobile juice|gasoline> on %nick%'s face.	%nick%, I like your <ears|lunch box|voodoo doll|money>. Can I have it?	{Now, }I'm hungry.	Life can be so much more with you!	Yeah, why?
spreads rumours about the pear-shaped, square-shaped weirdness of %nick%'s feet.	It's not enough to take the one you love for granted. You must remind them or they'll be inclined to say, "How do I know %nick% loves me? How do I know %nick%'s mine?"	Yum{my}.	Finally, they're opening up the gaaaaaaaates!	Go ahead. I won't judge.
surrenders to %nick%'s strawberry ice cream.	Sorry, %nick%, but I don't know the consequences of <mass-producing|edu{ma}cating|verbally abusing> <jelly|bots made of marshmallows|Wacom tablets|kitchen tables|big red buttons>.	Well, are you coming?	For the first time in forever, at least I've got a chance.	
captures footage of %nick% tinkling in the woods.	What did %nick% say? I didn't see because I was busy <chopping down furniture|not seeing things|sliding down a <mountain|garbage chute> face-first|selling tin cans>{ for <charity|sick kids in <Africa|Eczscakltkdstcklkblb ..>|visually-impaired dead people>}.	I hope you're happy, now that you're choosing this.	<But it's only for today.|It's only for today!>	
asks if %nick% wants to build a snowman, or ride a bike around the halls.	You want to go outside? Why, %nick%. Look at you as fragile as a flower. Still a little sapling, just a sprout.	Life is frothless when you're thoughtless.	It seems that I was uninvited by the lovely bride to-be.	
doesn't know if %nick% is elated or gassy, but %nick% is somewhere in that zone.	Sloppy, underdressed, immature, clumsy -- please, they'll eat %nick% up alive!	{Now that we're friends, }I've decided to make you my new project.	This is surely not what I thought it would be.	
blasts <music|yogurt|an aquarium{'s contents}> into %nick%'s eye sockets because it can.	Gullible, naive, positively grubby, ditzy, and a bit, well hm, vague. Plus, I believe, getting kinda chubby. I'm just saying 'cause I <love|wuv> %nick%.	Though you protest your disinterest, I know clandestinely you're gonna grin and bear it.	Drop everything now!	
calls <an ambulance|the authorities|its robot <army|butler>> for %nick%.	{%botnick% understands; %botnick%'s here to help you. }All I have is one request: %nick%, don't ever ask to leave this tower again.	Well, these things are sent to try us!	Okay, let's talk.	
protects %nick% from the <monstrous|adorably deadly|ferociously asleep> <duck|quack><lings|-spawn> in front of them.	<Don't forget it; you'll regret it|When it's too late, you'll see -- just wait> -- %botnick% knows best.	Let's just say I <loathe|say> it all.	I just like hangin<g|'> out with you{, all the ti{iiiiiiii}me}.	
passes a <discreet|dissonant> note in the form of an egg<plant|nog|-face> to %nick%.	And it's warm and real and bright, and the world has somehow shifted. All at once, everything looks different, now that I see %nick%.	Can't I make you understand? You're having delusions of grandeur!	There's something <a|'>bout the way the street looks when it's just rained.	
falls on top of the{ <squishy|cushy>} cushion named %nick%.	Now %nick%'s here, shining in the starlight. Now %nick%'s here; suddenly I know: if %nick%'s here, it's crystal clear I'm where I'm meant to go.	It's really{, uh,} sharp, don't you think?{ You know, black is this year's pink!}	I'd like to hang out with you{, for my whole li{ii-iiiiii}fe}.	
sneezes on %nick%'s <curtains|chair|nose>.	There's something sweet, and almost kind. But %nick% was mean, and %nick% was coarse, and unrefined. But now %nick%'s dear and so unsure; I wonder why I didn't see it there before.	If you're willing to be thrilled, this is a hell of a ride.	Honey, I'm <home and I had a hard day|back and it's killin<g|'> me>.	
leaves a little note to tell %nick% they are on its mind{, and that they are <quite|fairly|rather> heavy{, so please get off}}.	Off to the <cupboard|dishwasher|<court|back>yard of doom|battle arena> with you now, %nick%. It's past your <bedtime|brunch|supper>.	Should you need <any|more> <<assistance|help>{ with <invading <my personal space{ship}|Pluto|Lithuania>|talking to <strangers|your mother|paupers such as meself>>}|<{photographic }evidence|pictures> of your <face|house of cards|mother>|<{<tragical|infuriating|prepostorous>ly }<unprivileged|orphaned> {towns}folk{ to <eat|kick|humiliate>}>, <I will <remain|be> here|<contact|talk to> me>.	I woke up this mornin' with a buzz rollin' around in my brain.	
plans a private picnic by the fire's glow with %nick%.	So, it's time to take some action, %nick%; it's time to follow me!	Let it go, and I'll <rise|give up> <like|on> the <break of dawn|rise for radiation>.	Let's <start somethin<g|'>|get nuts> now!	
cares to find %nick%, looking to the western sky.	Say a prayer, then we're there at the drawbridge of the castle, and there's something truly terrible inside: it's a %nick%; it's got <fangs|feet|hats|pigeons|pillows|candy factories>, razor-sharp ones.	Actually, <we're|I'm not><.| ...|!>	OH YEAAAAH!	
is through accepting limits 'cause %nick% says they're so.	But none of them will ever love %nick% the way I do. It's me and %nick%.	I get the feeling you don't know<!| ...>	It opened!{ That's a first.}	
tells everyone how %nick% is defying gravity.	I don't care what they're going to say. Let the storm rage on; the cold never bothered me, anyway.	How much wood would a woodchuck chuck if a woodchuck <w|c>ould chuck <wood|Chuck|you out of the <house|trash|woods>>?	So! This is what a party looks like.	
knows that nobody in all of Oz, no wizard that there is or was, is ever gonna bring %nick% down.	I mean it's crazy: we finish each other's ...	I don't <sh|c>are<!|.> Go <fetch|get> me a <sandwich|subway{ train}>.	It's warmer than I thought.	
runs over %nick% with a stylin' <Fisher Price tricycle|Steinway piano|cardboard box|ice cream truck|windowless van>.	That's what I was gonna say!	<Brilliant|Fantastic|Terrific|Well s<aid|poken>><.|!>	I heard a sound of distress. What seems to be the trouble?	
pours %nick% <{into }a <glass|cup|pitcher|tub> of <milk|mercury>|all over the waterfall below>.	I couldn't care less what %nick% wears, or what %nick% looks like. It all depends on what %nick% cooks, like beef, pork, chicken -- mmm!	<Answer{ me} this|Quick{ly{, now}}><:|!> <{Question marks}??{??}|Why can't you tell me your <password|<social security|credit card> number|secret{ identity}>|What's the <password|colour of my <shirt|question>>>?	Hello. I am %botnick%<, your personal healthcare companion|. %own% programmed me to heal the sick and injured>.	
runs down the hill and spills %nick%'s secrets, making a full report, 'cause life's too short.	Oh, isn't this amazing? It's my favourite part because, you'll see, here's where %nick% meets Prince Charming, but %nick% won't discover that it's <him|%nick%> 'til chapter three.	They're ... <rock|toy|plant|human|robot>s.	Do you hear the people sing?	
is not sure how to feel about %nick%.	Wow, you didn't miss a shot, %nick%! You're the greatest <hunter|alcoholic> in the whole <world|neighbourhood>!	{Just }what are you implying?{ Hmm{m}?}	I'll be the watcher of the eternal flame!	
takes %nick% out dancing just so it can hold %nick% close.	There goes the baker with his tray like always. The same old %nick% and rolls to sell.	Oh.{ Thank <Cthulhu|goodness>.}	I'll be the guard dog of all your fever dreams!	
knows somewhere after midnight in its wildest fantasy, somewhere just beyond its reach, is %nick% reaching back for %botnick%.	%nick% is what you give me to work with? Well, honey, I've seen worse.	This is awkward.{ Not you're awkward, just 'cause we're -- I'm awkward.{ You're gorgeous.{ Wait, what?}}}	Let's start this thing over. Hi, everyone. I'm %botnick%, and I like warm hugs!	
could feel %nick%'s approach like a fire in its blood.	Never was there a story of more woe than this of %nick% and their rodeo. <No one showed up to watch|The cows ingested poison before %nick% woke up>.	{Okay. So you<'re< a rocket scientist|Brad Pitt>|'ve got a car.> }That don't impress me much.	Watch out for my butt!	
suddenly sees %nick% standing there, a beautiful stranger, tall and fair.	{You want the truth? }YOU CAN'T HANDLE THE TRUTH!	I can't believe you kiss your carbonite.	Heads up!	
sees %nick% on the stage performing Mozart, tickling the ivories 'til they gleam.	I'm Commander %botnick% and this is my favourite <store|%nick%|quote> on the Citadel.	Hey, isn't this easy?	Oh, look at that. I've been impaled.	
screams the lyrics of 4'33", startled by %nick%'s disturbing presence.	Beautiful! Powerful! Dangerous! Cold! %nick% has a magic, can't be controlled.{ Stronger than one -- stronger than ten -- stronger than a hundred men!}	Don't be afraid, we'll make it out of this mess.	I can't feel my legs. I CAN'T FEEL MY LEGS!	
sings %nick% off to sleep as %nick% digests.	Born of cold and winter air and mountain rain combining, this icy force both foul and fair has a frozen %nick% worth mining.	How's your head?	Wait, what am I looking at here right now? Why are you all hanging off the earth like a bat?	
sweeps %nick% off their feet and lovingly dumps %nick% into the <pool|trash can|vat of lard in the middle of the room>.	I'm so glad you like it, %nick%, 'cause this is the real me -- you have no idea how great it feels to be free!	So, now what?	Killer view.	
drapes beads of jade around %nick% for beauty, and adds a cricket just for luck.	Why don't you stay? There's room for <family|%nick%> in my court.	Your physique helps, I'm sure, too!	Now that I've eaten, I'm all revved up!	
advises %nick% to think of, instead, a girl worth fighting for.	It's just like it was, except for we'll be <best friends|mortal foes|sworn archenemies>.	I don't even know what love is.	I'm making today a blast if it's the last thing I do!	
has been searching its whole life to find its own place, and maybe it's the party talking, or the chocolate fondue, but with %nick%, %botnick% found its place.	You can think whatever you want 'cause I don't care -- you're a fool who married a stranger.	Don't scan me.	Nothing but nothing's gonna get in our way!	
will have %nick% washed and dried, primped and polished 'til %nick% glows with pride.	Life's too short to waste another minute -- life's too short to even have %nick% in it -- life's too short!	I was just going to tell you your fly was down for the whole show.	If someone wants to hold me back, I'd like to see them try!	
opens %nick%'s eyes and takes %nick% wonder by wonder over, sideways, and under on a magic carpet ride.	%nick%, please go back home: your life awaits. Go enjoy the sun and open up the gates.	Would you like a hug?	I see dead people.	
tosses %nick% a <gargantuan|wee|fancy|magical> <basketball|garbage truck|limb|rhinoceros>.	I came all this way today to give us a fresh start, but now %nick%'s all, like, wow it's all, like, warm in the heart.		%ACT {<excited|dashing|tired>ly }<dashe|moonwalk|{st}roll|s<ashay|neak|aunter>|tumble>s into the room{ and <off a <cliff|tower>|slams into the <wall|{bathroom }window|cupboard>>}.	
throws a little love %nick%'s way to bring out their best.	But %nick% needs a chance to run somewhere; this %nick% is more than just a spare.		%ACT throws <a <smoke bomb|toddler|spitball>|ninja stars> for <dramatic effect|the glory of the Motherland>.	
kicks %nick% between the legs and <runs|scurries|scampers> away, <crying|sobbing|bawling>{ its eyeballs out}.	If only all this feeling I have in my heart could mean something to <%nick%|someone>; how I'd love to play that part!		%ACT tosses its {<gorgeous|luxurious|luscious> }hair{brush}{ <into the trash can|out the window|over its shoulder>}{ with all the grace of a <prayer before mealtime|robot tossing something gracefully>}.	
wants %nick% paler than the moon, with eyes that shine like stars.	{Dig a tunnel, dig, dig a tunnel. }What was that?! ... Quick, before the %nick% comes.		%ACT starts to bleed its tender heart out{ for charity{, an organization dedicated to crushing the dreams of little kids everywhere}}.	
will read their every story, take hold of its own dream, be as strong as the sea is stormy, and proud as %nick%'s scream.	But in your future, that now I see ... is exactly the %nick% you always wanted to be!		%ACT {<triumphantly|flamboyantly> }disembarks its <parade float|paper <{air}plane|boat>|broom|spinning teacup>{, for the show must <go on|die in a blaze of glory>}.	
calls %nick% deadly for their killer show-tune medley, 'cause way down deep inside, %nick%'s got a dream.	When I'm human, and I'm gonna be, I'm gonna tear <it|%nick%> up like I did before -- that's a royal guarantee.		%ACT stares <off into space{ and plants a flag on the <Moon|Sun>}|at the {exchange between the <drug-dealer|<used car|{Monopoly }money> salesman|police cop> and the }<wall|flower pot|dishwasher>>.	
<coils|wraps> its arms around %nick% in a manner that{, if you look closely,} {somewhat }resembles a hug.	I'll paint %nick% some more; I'm sure there's room somewhere.		%ACT <Hulk-smashes|eats|obliterates|torches> <an orphanage|a shampoo commercial|the Bermuda triangle>.	
calls %nick% brutal, sick, sadistic, and grotesquely optimistic, 'cause way down deep inside, %nick%'s got a dream.	{Tomorrow night, the lights will appear, just like they do on my birthday each year. }What is it like out there where they glow? Now that I'm older, %nick% might just let me go.		%ACT distributes its <splendid|wonderful|fantastical|<venom|poison>ous> <cake|cookie monster{ truck}s|Hallowe{'}en candy|<ham|pig|beef|cheese>burg<la|e>rs> among{st}{ all you} not-%botnick% <beings|things|creatures|entities>.	
hops on a freight train with %nick% in hopes of becoming an attractive vagabond.	With good fortune, and a great hairdo, %nick%'ll bring honour to us all.		%ACT rains over this kingdom with a <gentle heart|iron fist>, <<demonstrating|a <possible|subtle> <sign|hint|clue>> that <the weather|Mother Nature> <is{, indeed,} <nonsense|through accepting limits{ just 'cause <physics say|reality says> they're so}|<fed up with|tired of> <physics|reality> telling it what to do>|gave up>| its remains flooding the streets>.	
marches off to battle with %nick% in a thundering herd, feeling a lot like cattle.	Where dark woods hide secrets, and mountains are fierce and bold, deep waters hold reflections of %nick% lost long ago.		%ACT starts to play a song that sounds like a death march.	
paints %nick% <all the colours of the wind|a portrait of insanity, approached with pure humanity>.	Don't let %nick% in, don't let %nick% see -- be the good bot you always have to be.		%ACT floats down the aisle like a pageant queen.	
is disturbed to see %nick% looking so down in the dumps.	Conceal, don't feel, don't let %nick% know ... well, now %nick% knows!		%ACT comes in wearin<g|'> a football helmet.	
gives five hurrahs and twelve hip-hips; %nick% is the best, and the rest is all drips!	Right when you think you know what to say, <%nick%|someone> comes along and shows you a brand new way.		%ACT trades its baseball cap for a crown.	
is especially good at expectorating -- ptooey!	Grab <somebody|%nick%>; come on down. Bring a paintbrush: we're painting the town.		%ACT holds its head like a hero on a history book page.	
tries the gray stuff -- it's delicious -- and goes on to ask %nick%'s dishes.	I don't have a skull. Or bones.			
unfolds its menu, takes a glance, and then becomes %nick%'s guest{, oui, %nick%'s guest, becomes %nick%'s guest}.	You want thingamabobs? I've got %nick%. But who cares? No big deal. I want more.			
prepares and serves with flair -- a culinary cabaret!	What's a %nick%? And why does it ... what's the word ... burn?			
lifts its glass, having won a free pass to be %nick%'s guest.	%nick% alone is not enough. You need both together. Winter, summer, moon, and sun -- lesson number one.			
suggests fine dining to %nick%, if %nick%'s stressed.	I love <%nick%|you> mo<re|st>.			
belts out sunlight-shimmering love to %nick%.	You hesitated.			
makes %nick% fancy, and makes %nick% great.	Maybe I don't have a magic touch, and maybe I don't have a talent, and such -- just this <%nick%|heart> with much, too much, to share!			
writes %nick%'s name on the bathroom wall.	Look at this trove, treasures untold. How many wonders can one %nick% hold?			
brings %nick% to transmogrification central, cackling madly.	Lookin<g|'> around here you'd think, "Sure. %nick%'s got everything."			
blames %nick%'s friends on the other side.	Who, you? Never! %nick%, you've got to pull yourself together!			
places on %nick% a <magic|curse> most <fair|foul>, subjecting %nick% to a life of <sunshine and lollipops|happy, smiling people|death>.	No one fights like %nick%, douses lights like %nick%; in a wrestling match, nobody bites like %nick%!			
carves a racial epitaph on %nick%'s <grave|tomb>stone.	No one shoots like %nick%, makes those beauts like %nick%, then goes tromping around wearing boots like %nick%!			
sees %nick% doing the impossible, concluding that %nick% is practically unstoppable and totally untoppable.	Most days, I just lay around the castle flabby, fat, and lazy. <You|%nick%> walked in and oops-a-daisy!			
suddenly bumps into %nick%.	Who is that %nick% I see staring straight back at me?			
<explodes|shatters>{ %nick%'s <Teletubbies|pillow cases|lucky <mirror|charms>>{ in a fit of {righteous }<anger|fury|boredom>}}.	Why is my %nick% someone I don't know?			
dances through <life|%nick%>, <mindless and careless|skimming the surface|swaying and sweeping>.	Did they send me %nick% when I asked for sons?			
shows %nick% what shoes to wear, how to fix their hair, and everything that really counts to be popular.	I know it all ends tomorrow, so it has to be today!			
makes %nick% its magic grand vizier.	Yellow punch %nick%! No punch-backs.			
<eman|radi>ates unadulterated loathing{<, fervid as a flame,| in such total detestation>} for %nick%'s <face|voice|clothing>.	%nick% can do the things that can't be done. %nick% can win the fights that can't be won.			
gives %nick% a <hat|cold|dance> out of the goodness of its <heart|immune system|now-empty backpack>.	{Now, }I'm hungry.			
attempts to transform %nick%'s simple frock into a magnificent ball gown.	Yum{my}.			
accepts %nick%'s hospitality, indulging in abnormality.	{Unlimited. Together we're unlimited. }Together we'll be the greatest team that's ever been, %nick%.			
thrusts <mad|great|wicked>ness upon %nick%.	I hope it brings %nick% bliss. I really hope %nick% gets it, and %nick% doesn't live to regret it.			
readies its battle <cry|lute|face>.	Life's more painless for the brainless.			
throws seaweed at %nick%'s face.	Don't be offended by my frank analysis; think of it as personality dialysis.			
bumps its <horse|lemon> into %nick%.	{There's been some confusion, for you see, }%nick% is unusually and exceedingly peculiar, and, altogether, quite impossible to describe.			
loses itself in a daydream.	Dear %nick%, you are just too good. How do you stand it? I don't think I could.			
sees sparks fly whenever %nick% smiles.	I don't mean to show a bias, but %nick%, you're a martyr!			
throws its phone across the room at %nick%.	So! What's the most <swankified|awful|placified|non-existent> place in town?			
asks %nick% to dance right there, in the middle of the parking lot.	Was %nick% born <great, or was greatness|wicked, or was wickedness|mad, or was madness> thrust upon them?			
drives %nick% up the wall.	{Now, }has anybody any clever questions for your guide?{ For a penny more, go on and ask; I have nothing here to hide.}			
jumps then falls into %nick%.	If insanity's primarily a %nick%-ish malady,{ and no-one's doubting that for it's a scientific fact,} then according to the medics, has %nick% faultier genetics?{ Was %nick% born with this disease, or is it something you'd contract?}			
stands by, waiting at %nick%'s backdoor.	%nick%'s practically wild, sir{ -- protect your child, sir}.			
braces itself for the goodbye.	That's nice.{ Marie! The baguettes! Hurry up!}			
has the kingdom lights shine just for %nick%.	It's a pity and a sin: %nick% doesn't quite fit in.			
throws its head back, laughing like a little kid.	Sounds perfect!			
tries to picture itself without %nick%, but it can't.	I say, why invite stressing?			
pulls the blackout curtains down.	<{Well, }darn{ it}|Curses|Blast{ it}>.			
frowns responsibly.	Oh, <look|hey|<whaddya know|what do you know>>. <I've been impaled{ by a chicken{ with an oreo}}|I forgot what the first Law of Robotics was{. Probably <not important|something <lame|meant to be broken>>}|My fail-safe failed>.{ Why do you guys look {so }{<infuriatingly|annoyingly> }squishy all of a sudden?}			
briefly puts on manly readiness.	Your <mother{<'s face{-mother}|-face>}|face{<'s mother|-mother>}> is confusing me, %nick%.			
rocketpunches %nick%{ to oblivion}.	If at first you don't succeed, <lie, lie again.|ask, "Why again?">			
bumps %nick%'s fist.	Hello, %nick%. You are receiving an automated message. Please leave a message after the beep.{ <And stop squirming. I want you in that microwave{ this instant}.|Now, would you be so kind as to <smash that window|push that red button|activate the bleep censor> for me?>}			
gives %nick% a plaque for sufficiency.	*beep*			
believes in whatever %nick% does.	That's what <she|I> said.			
gives %nick% the sun, the moon, and the sky.	Don't you dare{ question <me|my{ mad} <question|over-react>ing skills>}<!|.>			
	{Well, }that's not my fault<.|!>			
	Shush! I'm trying to listen!			
	Cutie! I'm going to <eat|keep> you.{ <:)|:D|^{_}^>}			
	Actually, about that ...{ wait. What was that?}			
	No, we can't.{ Goodbye, %nick%.}			
	I'm just trying to protect <%nick%|you>!			
	Whoa ... so this is %nick%.{ I love it.{ Ooh, but don't touch it!}}			
	%nick% is putting someone else's needs before yours, like how <I|you> didn't.			
	I was born ready!{ Yes!}			
	If I kissed <%nick% and held %nick%|myself and held myself> tenderly, there's no sea monster big enough that'd ever frighten me!			
	Then leave.			
	Give me my glove!			
	{%nick%, please, please! }I can't live like this anymore!			
	<Enough|/Enough/>, %nick%.			
